code,name,armor_type,description,advantage,branches,max_hp_bonus,max_mp_bonus,attack_bonus,defense_bonus,magic_bonus,resistance_bonus,speed_bonus,luck_bonus
mage,魔法師,魔法裝甲,操控火焰、冰水與增幅魔法的法術專家。,優勢：元素輸出穩定，還能用增幅法術強化節奏。,火焰系|冰水系|增幅系,-5,30,0,-2,8,3,1,0
martial,武鬥家,輕型裝甲,高速連擊與單體爆發。,優勢：手感俐落，單體連打很強。,拳擊系|氣功系|連段系,10,5,4,1,0,1,5,1
monk,僧侶,輕型裝甲,恢復、祈禱與增幅的支援核心。,優勢：恢復與淨化能力最穩定。,天法系|增幅系|聖護系,5,25,0,1,5,6,0,1
rogue,盜賊,輕型裝甲,高速暴擊與異常控制的靈活刺客。,優勢：狀態妨害多，能靠影步與詭計掌控節奏。,異常系|影步系|詭計系,0,5,3,0,0,1,7,4
traveler,旅行者,一般裝甲,平均泛用，兼具求生、斬擊與狂風技巧。,優勢：生存彈性高，也能兼顧近戰與風屬性輸出。,求生系|斬擊系|狂風系,5,10,2,2,2,2,2,2
warrior,戰士,重型裝甲,高生存近戰，擅長承受傷害。,優勢：穩定扛傷，適合正面作戰。,守護系|斬擊系|反擊系,20,0,5,5,0,2,-1,0
spellblade,魔法戰士,魔法裝甲,將近戰與元素附魔融合的中階職業。,優勢：攻擊、防禦與魔力同步成長。,附加系|魔法劍|魔力系,8,18,4,4,5,2,1,1
battle_master,戰鬥大師,重型裝甲,結合武鬥家與戰士精華的中階職業。,優勢：血量、攻防與敏捷兼具。,無雙系|威壓系|破壞系,14,6,5,4,1,2,4,1
sage,賢者,魔法裝甲,融合僧侶與魔法師知識的中階職業。,優勢：高 MP、高魔力與高抵抗。,日|月|賢術系,6,22,1,1,7,5,1,2
paladin,聖騎士,重型裝甲,兼具護衛與神聖力量的中階職業。,優勢：高血量、防禦、魔力與抵抗。,我為人人|加護系|騎士道,15,12,2,5,4,5,1,1
assassin,暗殺者,輕型裝甲,旅行者與盜賊進一步精煉出的中階職業。,優勢：攻擊、敏捷與魔力兼備。,致死系|生存系|月,6,14,5,2,3,2,6,2
hero,勇者,重型裝甲,兼具戰技與雷霆之力的全能高階職業。,優勢：全能力成長，並兼具物理與雷屬性魔法爆發。,勇者系|雷霆系,14,16,5,5,5,5,4,4
demon_king,魔王,魔法裝甲,魔法戰士與暗殺者交會而成的高階職業。,優勢：全能偏法術，地與月雙屬性進攻非常強勢。,魔王系|大地系,12,20,5,4,7,4,4,2
